directory,job_datetime,subdirectory,eco_datetime,filename,image_datetime,image_id
DeId-20250402.151235.782,2025-04-02 15:12:35.782,20250310191141406,2025-03-10 19:11:41.406,4_202504021524061820004.jpg,2025-04-02 15:24:06.182,4
DeId-20250402.151235.782,2025-04-02 15:12:35.782,20250310191141406,2025-03-10 19:11:41.406,1_202504021524061820001.jpg,2025-04-02 15:24:06.182,1
DeId-20250402.151235.782,2025-04-02 15:12:35.782,20250310191141406,2025-03-10 19:11:41.406,3_202504021524061820003.jpg,2025-04-02 15:24:06.182,3
DeId-20250402.151235.782,2025-04-02 15:12:35.782,20250310191141406,2025-03-10 19:11:41.406,2_202504021524061820002.jpg,2025-04-02 15:24:06.182,2
DeId-20250402.151212.31,2025-04-02 15:12:12.310,20250324093157317,2025-03-24 09:31:57.317,3_202504021520211510003.jpg,2025-04-02 15:20:21.151,3
DeId-20250402.151212.31,2025-04-02 15:12:12.310,20250324093157317,2025-03-24 09:31:57.317,6_202504021520211510006.jpg,2025-04-02 15:20:21.151,6
DeId-20250402.151212.31,2025-04-02 15:12:12.310,20250324093157317,2025-03-24 09:31:57.317,2_202504021520211510002.jpg,2025-04-02 15:20:21.151,2
DeId-20250402.151212.31,2025-04-02 15:12:12.310,20250324093157317,2025-03-24 09:31:57.317,5_202504021520211510005.jpg,2025-04-02 15:20:21.151,5
DeId-20250402.151212.31,2025-04-02 15:12:12.310,20250324093157317,2025-03-24 09:31:57.317,1_202504021520211510001.jpg,2025-04-02 15:20:21.151,1
DeId-20250402.151212.31,2025-04-02 15:12:12.310,20250324093157317,2025-03-24 09:31:57.317,4_202504021520211510004.jpg,2025-04-02 15:20:21.151,4
DeId-20250402.151301.530,2025-04-02 15:13:01.530,20250227123520526,2025-02-27 12:35:20.526,12_202504021542013550012.jpg,2025-04-02 15:42:01.355,12
DeId-20250402.151301.530,2025-04-02 15:13:01.530,20250227123520526,2025-02-27 12:35:20.526,3_202504021542013550003.jpg,2025-04-02 15:42:01.355,3
DeId-20250402.151301.530,2025-04-02 15:13:01.530,20250227123520526,2025-02-27 12:35:20.526,11_202504021542013550011.jpg,2025-04-02 15:42:01.355,11
DeId-20250402.151301.530,2025-04-02 15:13:01.530,20250227123520526,2025-02-27 12:35:20.526,13_202504021542013550013.wmv,2025-04-02 15:42:01.355,13
DeId-20250402.151301.530,2025-04-02 15:13:01.530,20250227123520526,2025-02-27 12:35:20.526,10_202504021542013550010.jpg,2025-04-02 15:42:01.355,10
DeId-20250402.151301.530,2025-04-02 15:13:01.530,20250227123520526,2025-02-27 12:35:20.526,1_202504021542013550001.jpg,2025-04-02 15:42:01.355,1
DeId-20250402.151301.530,2025-04-02 15:13:01.530,20250227123520526,2025-02-27 12:35:20.526,5_202504021542013550005.jpg,2025-04-02 15:42:01.355,5
DeId-20250402.151301.530,2025-04-02 15:13:01.530,20250227123520526,2025-02-27 12:35:20.526,8_202504021542013550008.jpg,2025-04-02 15:42:01.355,8
